id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
230709,Male,47,1,0,0,> 2 Years,Yes,2630,26,296,0
285434,Female,64,1,28,1,1-2 Year,No,37560,25,68,0
37277,Male,33,1,28,0,1-2 Year,Yes,45677,124,163,1
86405,Female,58,1,28,0,1-2 Year,Yes,40481,124,101,0
149828,Female,61,1,8,0,1-2 Year,Yes,32384,154,170,1
269171,Male,31,1,43,0,< 1 Year,Yes,20024,156,278,1
124358,Female,34,1,10,1,1-2 Year,No,24230,152,144,0
289470,Male,42,1,28,0,> 2 Years,Yes,41080,124,122,1
7272,Female,27,1,28,1,< 1 Year,No,39187,152,250,0
27917,Female,45,1,33,0,1-2 Year,Yes,41271,154,96,1
146802,Male,40,1,28,0,1-2 Year,Yes,31490,122,279,1
132706,Male,55,1,18,0,1-2 Year,Yes,35377,26,235,0
196449,Male,39,1,28,0,1-2 Year,Yes,26820,124,73,1
143747,Male,44,1,10,0,1-2 Year,Yes,21761,124,79,1
333422,Male,71,1,28,0,> 2 Years,Yes,40824,26,188,1
324643,Male,42,1,29,0,1-2 Year,Yes,2630,155,167,1
18647,Male,25,1,28,0,< 1 Year,Yes,35506,152,169,0
165906,Male,25,1,43,0,< 1 Year,Yes,22563,160,267,0
123412,Male,29,1,45,0,< 1 Year,Yes,29644,151,172,0
355891,Female,20,1,35,0,< 1 Year,Yes,2630,157,170,0
148813,Male,62,1,28,0,1-2 Year,Yes,43940,26,137,1
311755,Female,41,1,28,0,1-2 Year,Yes,26196,124,64,1
300563,Male,24,1,6,1,< 1 Year,No,19420,152,256,0
170074,Male,74,1,0,0,1-2 Year,Yes,2630,26,179,0
167612,Male,27,1,3,0,< 1 Year,Yes,2630,152,199,1
115726,Female,24,1,8,1,< 1 Year,No,22622,160,24,0
105000,Female,30,1,18,0,1-2 Year,Yes,2630,157,244,1
353121,Female,20,1,43,1,< 1 Year,No,29353,160,89,0
139613,Male,24,1,28,1,1-2 Year,No,47999,157,180,0
316600,Female,58,1,8,0,1-2 Year,Yes,36024,26,63,1
72858,Male,33,1,6,1,< 1 Year,No,20483,152,207,0
